TransporterID	Protein_Name_generally	Family	SubFamily
DTD0001	Multidrug resistance-associated protein 1	ATP-Binding Cassette (ABC) Superfamily	Drug Conjugate Transporter (DCT) Family (ABCC)
DTD0002	Multidrug resistance-associated protein 2	ATP-Binding Cassette (ABC) Superfamily	Drug Conjugate Transporter (DCT) Family (ABCC)
DTD0003	P-glycoprotein 1	ATP-Binding Cassette (ABC) Superfamily	Multidrug Resistance Exporter (MDR) Family (ABCB)
DTD0004	Breast cancer resistance protein	ATP-Binding Cassette (ABC) Superfamily	Eye Pigment Precursor Transporter (EPP) Family (ABCG)
DTD0005	Organic anion transporter 2	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0006	Organic cation transporter 2	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0007	Multidrug and toxin extrusion protein 1	Multidrug/Oligosaccharidyl-Lipid/Polysaccharide (MOP) Flippase Superfamily	Multi Antimicrobial Extrusion (MATE) Family
DTD0008	Organic anion transporting polypeptide 1B1	Organo Anion Transporter (OAT) Family	.
DTD0009	Organic cation transporter 3	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0010	Organic cation transporter 1	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0012	Multidrug resistance-associated protein 3	ATP-Binding Cassette (ABC) Superfamily	Drug Conjugate Transporter (DCT) Family (ABCC)
DTD0013	Multidrug resistance protein 3	ATP-Binding Cassette (ABC) Superfamily	Multidrug Resistance Exporter (MDR) Family (ABCB)
DTD0014	Bile salt export pump	ATP-Binding Cassette (ABC) Superfamily	Multidrug Resistance Exporter (MDR) Family (ABCB)
DTD0015	Multidrug resistance-associated protein 4	ATP-Binding Cassette (ABC) Superfamily	Drug Conjugate Transporter (DCT) Family (ABCC)
DTD0016	Multidrug resistance-associated protein 5	ATP-Binding Cassette (ABC) Superfamily	Drug Conjugate Transporter (DCT) Family (ABCC)
DTD0017	Multidrug resistance-associated protein 6	ATP-Binding Cassette (ABC) Superfamily	Drug Conjugate Transporter (DCT) Family (ABCC)
