TransporterID	Gene_name	Protein_Name_generally	Synonyms	DrugID	Drug_Name	synonyms
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00015	Adefovir	((2-(6-Amino-9H-purin-9-yl)ethoxy)methyl)phosphonic acid; 2-(6-aminopurin-9-yl)ethoxymethylphosphonic acid; 9-(2-(Phosphonomethoxy)ethyl)adenine; 9-(2-Phosphonylmethoxyethyl)adenine; ADEFOVIR; GS 0393; GS 393; GS-0393; N-(2-Phophonomethoxyethyl-2,6-diaminopurine); N-(2-Phosphonylmethoxyethyl)adenine; PMEA; {[2-(6-Amino-9h-Purin-9-Yl)ethoxy]methyl}phosphonic Acid
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00019	Estrone sulfate	Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00039	Glutathione	5-L-Glutamyl-L-cysteinylglycine; 70-18-8; Agifutol S; Copren; Deltathione; GSH; Glutathion; Glutathione; Glutathione (reduced); Glutathione SH; Glutathione [JAN]; Glutathione-SH; Glutatiol; Glutatione; Glutide; Glutinal; Isethion; L-Glutathione reduced; L-Glutatione; L-gamma-glutamyl-L-cysteinylglycine; Ledac; Neuthion; Panaron; Tathion; Tathione; Triptide; gamma-L-Glutamyl-L-cysteinylglycine; gamma-L-Glutamylcysteinylglycine; gamma-L-glutamyl-L-cysteinyl-glycine; glutathione red; red. glutathione; reduced glutathione
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00044	Topotecan	(4S)-10-[(dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione; (S)-10-((Dimethylamino)methyl)-4-ethyl-4,9-dihydroxy-1H-pyrano(3',4':6,7)indolizino(1,2-b)quinoline-3,14(4H,12H)-dione; (S)-10-[(DIMETHYLAMINO)METHYL]-4-ETHYL-4,9-DIHYDROXY-1H-PYRANO[3',4':6,7]INOLIZINO[1,2-B]-QUINOLINE-3,14(4H,12H)-DIONE; (S)-10-[(Dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]-quinoline-3,14(4H,12H)-dione; (S)-10-[(Dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione; 9-Dimethylaminomethyl-10-hydroxycamptothecin; Hycamptamine; Hycamptin; Hycamtamine; Hycamtin; Hycamtin (TN); SK&F-104864-A; SKF 104864; SKF-104864-A; SKF-S 104864; TOPOTECAN, HYCAMTIN; Topotecan (BAN); Topotecan Monohydrochloride, (S)-Isomer; Topotecan [INN:BAN]; Topotecan lactone; Topotecane; Topotecane [INN-French]; Topotecanum; Topotecanum [INN-Latin]
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00067	Aminohippuric acid	4-Aminohippuric acid; Aminohippurate; N-(4-Aminobenzoyl)glycine; PAH; PAHA; Para-aminohippurate
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00082	Methotrexate	(S)-2-(4-(((2,4-Diaminopteridin-6-yl)methyl)(methyl)amino)benzamido)pentanedioic acid; A-Methopterin; A-Methpterin; Abitrexate; Amethopterin; Amethopterin L-; Amethopterine; Antifolan; Folex-Pfs; Hdmtx; L-Amethopterin; MTX; Maxtrex; Metatrexan; Methotextrate; Methotrexat; Methotrexat-Ebewe; Methotrexate, L-; Methotrexatum; Methylaminopterin; Methylaminopterinum; Metotressato [DCIT]; Metotrexato; Mexate; Mexate-Aq; N-Bismethylpteroylglutamic acid; Rasuvo; Rheumatrex; [3H]methotrexate; methotrexate
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00112	Irinotecan	(+)-Irinotecan; (4S)-4,11-DIETHYL-4-HYDROXY-3,14-DIOXO-3,4,12,14-TETRAHYDRO-1H-PYRANO[3',4':6,7]INDOLIZINO[1,2-B]QUINOLIN-9-YL 1,4'-BIPIPERIDINE-1'-CARBOXYLATE; (4S)-4,11-Diethyl-4-hydroxy-3,14-dioxo-4,12-dihydro-1H-pyrano[3,4-f]quinolino[2,3-a]indolizin-9-yl 4-piperidylpiperidinecarboxylate; Biotecan; Biotecan (TN); CP0; Campto (TN); Camptosar; Camptosar (TN); Camptosar, Campto, CPT-11, Irinotecan; IRINOTECAN HYDROCHLORIDE Trihydrate; IRINOTECAN, CPT-11; Irinotecan (INN); Irinotecan (TOPO1 inhibitor); Irinotecan Hcl; Irinotecan [INN:BAN]; Irinotecan hydrochloride; Irinotecanum; Irinotecanum [INN-Latin]
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00134	Folic acid	(2S)-2-[[4-[(2-amino-4-oxo-1H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid; Acfol (Spain); Acide folique [INN-French]; Acidefolique; Acido folico; Acido folico [INN-Spanish]; Acidum folicum; Acidum folicum [INN-Latin]; Acifolic; Antianemia factor; Apo-Folic; BIF0608; Cytofol; Dosfolat B activ; F0043; FOL; Facid; Factor U; Folacid; Folacin; Folaemin; Folaemin [Netherlands]; Folan; Folasic (Australia); Folate; Folbal; Folcidin; Folcidin (VAN); Folcysteine; Foldine; Foldine [France]; Folettes; Foliamin; Folic; Folic acid (JP15/USP/INN); Folic acid (TN); Folic acid [BAN:INN:JAN]; Folic acid [INN:BAN:JAN]; Folic acid dihydrate; Folicet; Folicet (TN); Folico; Folico (Italy); Folina; Folina (Italy); Folipac; Folsaeure; Folsan; Folsaure; Folsav; Folvite; Folvron; Glutamic acid, N-(p-(((2-amino-4-hydroxypyrimido(4,5-b)pyrazin-6-yl)methyl)amino)benzoyl)-, L; Incafolic; Kyselina listova; Kyselina listova [Czech]; LiverLactobacillus casei factor; Millafol; Mission prenatal; Mittafol; N-(4-(((2-Amino-1,4-dihydro-4-oxo-6-pteridinyl)methyl)amino)benzo-yl)-L-glutamic acid; N-(4-((2-Amino-1,4-dihydro-4-oxo-6-pteridinyl)methyl)amino)benzoyl)-L-glutamic acid; N-(4-{[(2-amino-4-oxo-1,4-dihydropteridin-6-yl)methyl]amino}benzoyl)-L-glutamic acid; N-(p-(((2-Amino-4-hydroxy-6-pteridinyl)methyl)amino)benzoyl)-L-glutamic acid; Nifolin; Nifolin [Denmark]; Novofolacid; Novofolacid [Canada]; PGA (VAN); PteGlu; Pteroyl-L-glutamic acid; Pteroyl-L-monoglutamic acid; Pteroylglutamic acid; Pteroylmonoglutamate; Pteroylmonoglutamic acid; Serum Folate Level; Usaf cb-13; Vitamin B11; Vitamin B9; Vitamin Bc; Vitamin Be; Vitamin M
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00135	Colchicine	(S)-N-(5,6,7,9-Tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo[a]heptalen-7-yl)acetamide; 7-alpha-H-Colchicine; 7.alpha.H-Colchicine; 7alphaH-Colchicine; Benzo(a)heptalen-9(5H)-one; Binds to tubulin; C 9754; Colchicin; Colchicin [German]; Colchicina; Colchicina [Italian]; Colchicine (JP15/USP); Colchicine (TN); Colchicine [JAN]; Colchicine, (+-)-Isomer; Colchicine, (R)-Isomer; Colchicine, Colchicum autumnale; Colchicinum; Colchineos; Colchisol; Colchysat; Colcin; Colcrys; Colsaloid; Colstat; Condylon; Goutnil; Inhibits microtubular assembly; Kolkicin; LOC; MPC-004; N-((7S)-5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-acetamide; N-(5,6,7,9-Tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)acetamide; N-(5,6,7,9-Tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo[.alpha.]heptalen-7-yl)-acetamide; N-Acetyl trimethylcolchicinic acid methylether; N-[(7S)-1,2,3,10-tetramethoxy-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-7-yl]acetamide; N-[(7S)-1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl]acetamide; N-[(7S)-5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo[a]heptalen-7-yl]acetamide; Spindle poison
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00143	Vincristine	22-Oxovincaleukoblastine; Indole alkaloid; LCR; Leurocristine; Lilly37231 (1:1 sulfate salt); Liposomal Vincristine; Marqibo; Onco TCS; Oncovin (1:1 sulfate salt); Oncovin (TN); Oncovine; Tecnocris; Tecnocris (TN); VCR; VIN; Vincaleukoblastine, 22-oxo-22-Oxovincaleukoblastine; Vincasar; Vincasar (1:1 sulfate salt); Vincrex (1:1 sulfate salt); Vincristina; Vincristina [DCIT]; Vincristine (INN); Vincristine [INN:BAN]; Vincristinum; Vincristinum [INN-Latin]; Vincrstine; Vincrystine; Vinkristin; Z-D-Val-Lys(Z)-OH
