TransporterID	Protein_Name_generally	DrugID	Drug_Name	Km (microM)	Cell System
DTD0001	Multidrug resistance-associated protein 1	DR00082	Methotrexate	930	Breast carcinoma cell line (MCF7)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00170	Epirubicin	0.097	Human cervical cancer cell line (Hela)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00039	Glutathione	5000	Human cervical cancer cell line (Hela)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00067	Aminohippuric acid	372	Human cervical cancer cell line (Hela)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00208	Estradiol-17beta-glucuronide	1.5	Human cervical cancer cell line (Hela)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00208	Estradiol-17beta-glucuronide	2.5	Human cervical cancer cell line (Hela)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00019	Estrone sulfate	0.73	Human cervical cancer cell line (Hela)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00019	Estrone sulfate	2.1	Human cervical cancer cell line (Hela)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00344	Fluo-3	12	Human cervical cancer cell line (Hela)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00319	Citalopram	1.99	Human embryonic kidney cells (HEK293)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00082	Methotrexate	2150	Human embryonic kidney cells (HEK293)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00208	Estradiol-17beta-glucuronide	1.5	Human embryonic kidney cells (HEK293)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00019	Estrone sulfate	4.2	Human embryonic kidney cells (HEK293)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00313	Cefadroxil	3.9	Human embryonic kidney cells (HEK293)-MRP1
DTD0001	Multidrug resistance-associated protein 1	DR00284	Daunorubicin	1.4	Human small cell lung cancer cells
DTD0001	Multidrug resistance-associated protein 1	DR00082	Methotrexate	2150	NIH3T3-MRP1
DTD0002	Multidrug resistance-associated protein 2	DR00112	Irinotecan	48.9	Bile canalicular membrane vesicles-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00161	SN-38	180	Bile canalicular membrane vesicles-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00082	Methotrexate	480	Human embryonic kidney cells (HEK293)-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00067	Aminohippuric acid	880	Human embryonic kidney cells (HEK293)-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00252	Bilirubin	0.7	Human embryonic kidney cells (HEK293)-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00252	Bilirubin	0.9	Human embryonic kidney cells (HEK293)-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00208	Estradiol-17beta-glucuronide	7.2	Human embryonic kidney cells (HEK293)-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00347	Olmesartan medoxomil	14.9	LLC-PK1 cells-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00071	Valsartan	30.4	LLC-PK1 cells-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00162	Etoposide	617	Madin-Darby canine kidney cells (MDCKII)-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00112	Irinotecan	90.8	Madin-Darby canine kidney cells (MDCKII)-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00308	Vinblastine	137.3	Madin-Darby canine kidney cells (MDCKII)-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00067	Aminohippuric acid	2100	Madin-Darby canine kidney cells (MDCKII)-MRP2
DTD0002	Multidrug resistance-associated protein 2	DR00067	Aminohippuric acid	5000	Spodoptera frugiperda (Sf9) cells-MRP2
DTD0003	P-glycoprotein 1	DR00502	Chlorpromazine	27.4	Baculovirus-infected insect cells-MDR1
DTD0003	P-glycoprotein 1	DR00474	Clozapine	58	Baculovirus-infected insect cells-MDR1
DTD0003	P-glycoprotein 1	DR00426	Haloperidol	33	Baculovirus-infected insect cells-MDR1
DTD0003	P-glycoprotein 1	DR00462	Olanzapine	8.3	Baculovirus-infected insect cells-MDR1
DTD0003	P-glycoprotein 1	DR00855	Quetiapine	12.3	Baculovirus-infected insect cells-MDR1
DTD0003	P-glycoprotein 1	DR00384	Risperidone	12.4	Baculovirus-infected insect cells-MDR1
DTD0003	P-glycoprotein 1	DR00342	Paclitaxel	0.014	Breast carcinoma cell line (MCF7)-MDR1
DTD0003	P-glycoprotein 1	DR00135	Colchicine	1.33	CEM/VLB100 cells-MDR1
DTD0003	P-glycoprotein 1	DR00429	Losartan	100	Chinese hamster ovary AA8 cells-MDR1
DTD0003	P-glycoprotein 1	DR00281	Progesterone	30	Chinese hamster ovary AA8 cells-MDR1
DTD0003	P-glycoprotein 1	DR00054	Quinine	10	Chinese hamster ovary AA8 cells-MDR1
DTD0003	P-glycoprotein 1	DR00308	Vinblastine	0.8	Chinese hamster ovary AA8 cells-MDR1
DTD0003	P-glycoprotein 1	DR00334	Valinomycin	1	Chinese hamster ovary AA8 cells-MDR1
DTD0003	P-glycoprotein 1	DR00448	Cyclosporine	0.17	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00284	Daunorubicin	1.74	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00999	Diazepam	72.4	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00148	Digoxin	25.9	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00171	Loperamide	13.8	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00281	Progesterone	53.6	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00054	Quinine	5.42	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00264	Verapamil	4.06	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00308	Vinblastine	5.71	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00693	Prazosin	20	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00299	Indinavir	0.47	High five cells-MDR1
DTD0003	P-glycoprotein 1	DR00135	Colchicine	1640	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00448	Cyclosporine	3.8	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00148	Digoxin	73	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00148	Digoxin	177	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00162	Etoposide	461	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00026	Fexofenadine	150	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00638	Grepafloxacin	580	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00112	Irinotecan	116.1	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00046	Levofloxacin	5600	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00429	Losartan	232	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00342	Paclitaxel	16.5	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00342	Paclitaxel	65	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00309	Saquinavir	15.4	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00044	Topotecan	78.3	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00308	Vinblastine	19	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00308	Vinblastine	89.2	Human enterocyte-like 2 cells (Caco-2)-MDR1
DTD0003	P-glycoprotein 1	DR00135	Colchicine	45	KB-V1 cells-overexpress MDR1
DTD0003	P-glycoprotein 1	DR00301	Doxorubicin	3	KB-V1 cells-overexpress MDR1
DTD0003	P-glycoprotein 1	DR00448	Cyclosporine	8.4	LLC-PK1 cells-MDR1
DTD0003	P-glycoprotein 1	DR00046	Levofloxacin	3000	LLC-PK1 cells-MDR1
DTD0003	P-glycoprotein 1	DR00250	Oseltamivir	4.2	LLC-PK1 cells-MDR1
DTD0003	P-glycoprotein 1	DR00308	Vinblastine	99.4	LLC-PK1 cells-MDR1
DTD0003	P-glycoprotein 1	DR00332	Ritonavir	0.8	LLC-PK1 cells-MDR1
DTD0003	P-glycoprotein 1	DR00309	Saquinavir	14.5	LLC-PK1 cells-MDR1
DTD0003	P-glycoprotein 1	DR00308	Vinblastine	253	Madin-Darby canine kidney (MDCK) cells-MDR1
DTD0003	P-glycoprotein 1	DR00257	Biotin	13	Madin-Darby canine kidney (MDCK) cells-MDR1
DTD0003	P-glycoprotein 1	DR00162	Etoposide	255	Madin-Darby canine kidney cells (MDCKII)-MDR1
DTD0003	P-glycoprotein 1	DR00112	Irinotecan	45.5	Madin-Darby canine kidney cells (MDCKII)-MDR1
DTD0003	P-glycoprotein 1	DR00429	Losartan	403.2	Madin-Darby canine kidney cells (MDCKII)-MDR1
