,TransporterID,Gene_name,Protein_Name_generally,Synonyms,DrugID,Drug_Name,synonyms,final_smiles
0,DTD0001,ABCC1,Multidrug resistance-associated protein 1,ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1,DR00015,Adefovir,"((2-(6-Amino-9H-purin-9-yl)ethoxy)methyl)phosphonic acid; 2-(6-aminopurin-9-yl)ethoxymethylphosphonic acid; 9-(2-(Phosphonomethoxy)ethyl)adenine; 9-(2-Phosphonylmethoxyethyl)adenine; ADEFOVIR; GS 0393; GS 393; GS-0393; N-(2-Phophonomethoxyethyl-2,6-diaminopurine); N-(2-Phosphonylmethoxyethyl)adenine; PMEA; {[2-(6-Amino-9h-Purin-9-Yl)ethoxy]methyl}phosphonic Acid",C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N
1,DTD0002,ABCC2,Multidrug resistance-associated protein 2,ABC30; ABCC2; ATP-binding cassette sub-family C member 2; CMOAT; CMOAT1; CMRP; Canalicular multidrug resistance protein; Canalicular multispecific organic anion transporter 1; DJS; MRP2,DR00015,Adefovir,"((2-(6-Amino-9H-purin-9-yl)ethoxy)methyl)phosphonic acid; 2-(6-aminopurin-9-yl)ethoxymethylphosphonic acid; 9-(2-(Phosphonomethoxy)ethyl)adenine; 9-(2-Phosphonylmethoxyethyl)adenine; ADEFOVIR; GS 0393; GS 393; GS-0393; N-(2-Phophonomethoxyethyl-2,6-diaminopurine); N-(2-Phosphonylmethoxyethyl)adenine; PMEA; {[2-(6-Amino-9h-Purin-9-Yl)ethoxy]methyl}phosphonic Acid",C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N
2,DTD0004,ABCG2,Breast cancer resistance protein,ABC15; ABCG2; ABCP; ATP-binding cassette sub-family G member 2; BCRP; BCRP1; BMDP; CD338; CDw338; EST157481; GOUT1; MRX; MXR; MXR-1; MXR1; Mitoxantrone resistance-associated protein; Placenta-specific ATP-binding cassette transporter; UAQTL1; Urate exporter; hABCG2,DR00015,Adefovir,"((2-(6-Amino-9H-purin-9-yl)ethoxy)methyl)phosphonic acid; 2-(6-aminopurin-9-yl)ethoxymethylphosphonic acid; 9-(2-(Phosphonomethoxy)ethyl)adenine; 9-(2-Phosphonylmethoxyethyl)adenine; ADEFOVIR; GS 0393; GS 393; GS-0393; N-(2-Phophonomethoxyethyl-2,6-diaminopurine); N-(2-Phosphonylmethoxyethyl)adenine; PMEA; {[2-(6-Amino-9h-Purin-9-Yl)ethoxy]methyl}phosphonic Acid",C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N
3,DTD0015,ABCC4,Multidrug resistance-associated protein 4,ABCC4; ATP-binding cassette sub-family C member 4; MOAT-B; MOATB; MRP/cMOAT-related ABC transporter; MRP4; Multi-specific organic anion transporter B,DR00015,Adefovir,"((2-(6-Amino-9H-purin-9-yl)ethoxy)methyl)phosphonic acid; 2-(6-aminopurin-9-yl)ethoxymethylphosphonic acid; 9-(2-(Phosphonomethoxy)ethyl)adenine; 9-(2-Phosphonylmethoxyethyl)adenine; ADEFOVIR; GS 0393; GS 393; GS-0393; N-(2-Phophonomethoxyethyl-2,6-diaminopurine); N-(2-Phosphonylmethoxyethyl)adenine; PMEA; {[2-(6-Amino-9h-Purin-9-Yl)ethoxy]methyl}phosphonic Acid",C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N
4,DTD0024,SLC22A6,Organic anion transporter 1,OAT1; PAH transporter; PAHT; ROAT1; Renal organic anion transporter 1; SLC22A6; Solute carrier family 22 member 6; hOAT1; hPAHT; hROAT1,DR00015,Adefovir,"((2-(6-Amino-9H-purin-9-yl)ethoxy)methyl)phosphonic acid; 2-(6-aminopurin-9-yl)ethoxymethylphosphonic acid; 9-(2-(Phosphonomethoxy)ethyl)adenine; 9-(2-Phosphonylmethoxyethyl)adenine; ADEFOVIR; GS 0393; GS 393; GS-0393; N-(2-Phophonomethoxyethyl-2,6-diaminopurine); N-(2-Phosphonylmethoxyethyl)adenine; PMEA; {[2-(6-Amino-9h-Purin-9-Yl)ethoxy]methyl}phosphonic Acid",C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N
5,DTD0025,SLC22A8,Organic anion transporter 3,OAT3; SLC22A8; Solute carrier family 22 member 8; hOAT3,DR00015,Adefovir,"((2-(6-Amino-9H-purin-9-yl)ethoxy)methyl)phosphonic acid; 2-(6-aminopurin-9-yl)ethoxymethylphosphonic acid; 9-(2-(Phosphonomethoxy)ethyl)adenine; 9-(2-Phosphonylmethoxyethyl)adenine; ADEFOVIR; GS 0393; GS 393; GS-0393; N-(2-Phophonomethoxyethyl-2,6-diaminopurine); N-(2-Phosphonylmethoxyethyl)adenine; PMEA; {[2-(6-Amino-9h-Purin-9-Yl)ethoxy]methyl}phosphonic Acid",C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N
6,DTD0001,ABCC1,Multidrug resistance-associated protein 1,ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
7,DTD0002,ABCC2,Multidrug resistance-associated protein 2,ABC30; ABCC2; ATP-binding cassette sub-family C member 2; CMOAT; CMOAT1; CMRP; Canalicular multidrug resistance protein; Canalicular multispecific organic anion transporter 1; DJS; MRP2,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
8,DTD0003,ABCB1,P-glycoprotein 1,ABC20; ABCB1; ATP-binding cassette sub-family B member 1; CD243; CLCS; GP170; MDR1; P-GP; PGY1; hMDR1,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
9,DTD0004,ABCG2,Breast cancer resistance protein,ABC15; ABCG2; ABCP; ATP-binding cassette sub-family G member 2; BCRP; BCRP1; BMDP; CD338; CDw338; EST157481; GOUT1; MRX; MXR; MXR-1; MXR1; Mitoxantrone resistance-associated protein; Placenta-specific ATP-binding cassette transporter; UAQTL1; Urate exporter; hABCG2,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
