TransporterID	Protein_Name_generally	Experimental material_change	Endogenous_Metabolite_ID	Endogenous_Metabolite_Name
DTD0034	Vesicular amine transporter 2	Identified using VMAT2-deficient mice	EM00090	Glutamate
DTD0034	Vesicular amine transporter 2	Identified using VMAT2-deficient mice	EM00038	Taurine
DTD0034	Vesicular amine transporter 2	Identified using VMAT2-deficient mice	EM00032	Phosphocholine
DTD0034	Vesicular amine transporter 2	Identified using VMAT2-deficient mice	EM00028	Myo-inositol
DTD0034	Vesicular amine transporter 2	Identified using VMAT2-deficient mice	EM00016	Creatine
DTD0034	Vesicular amine transporter 2	Identified using VMAT2-deficient mice	EM00009	Choline
DTD0476	Glycoprotein-associated amino acid transporter b0, +AT1	Identified using Slc7a9 knockout mice	EM00018	Cystine
DTD0468	Cationic amino acid transporter 2	Identified using Slc7a2 knockout mice	EM00073	Arginine
DTD0463	Asc-type amino acid transporter 1	Identified using Slc7a10 knockout mice	EM00023	Glycine
DTD0234	Anion exchange transporter	Identified using slc26a6 null mice	EM00219	Methylamine
DTD0234	Anion exchange transporter	Identified using slc26a6 null mice	EM00190	M-hydroxyphenylpropionylsulfate
DTD0234	Anion exchange transporter	Identified using slc26a6 null mice	EM00100	Oxalate
DTD0234	Anion exchange transporter	Identified using slc26a6 null mice	EM00041	Trimethylamine
DTD0234	Anion exchange transporter	Identified using slc26a6 null mice	EM00040	Trimethylamine-N-oxide
DTD0234	Anion exchange transporter	Identified using slc26a6 null mice	EM00038	Taurine
DTD0234	Anion exchange transporter	Identified using slc26a6 null mice	EM00028	Myo-inositol
DTD0234	Anion exchange transporter	Identified using slc26a6 null mice	EM00024	Glycolate
DTD0234	Anion exchange transporter	Identified using slc26a6 null mice	EM00012	Hippuric acid
DTD0234	Anion exchange transporter	Identified using slc26a6 null mice	EM00010	Citrate
DTD0103	Monocarboxylate transporter 12	Identified using Slc16a12 knockout rats	EM00064	Glutamine
DTD0103	Monocarboxylate transporter 12	Identified using Slc16a12 knockout rats	EM00016	Creatine
DTD0130	Excitatory amino acid transporter 2	Identified using SIRT5 knockout mice	EM00090	Glutamate
DTD0023	Organic cation/carnitine transporter 2	Identified using OCTN2-defective JVS mice	EM00168	Acetyl-l-carnitine
DTD0025	Organic anion transporter 3	Identified using Oat3 knockout mice	EM00210	1-methylimidazoleacetate
DTD0025	Organic anion transporter 3	Identified using Oat3 knockout mice	EM00211	3-[3-(sulfooxy)phenyl]propanoic acid
DTD0025	Organic anion transporter 3	Identified using Oat3 knockout mice	EM00212	3-hydroxyhexanoate
DTD0025	Organic anion transporter 3	Identified using Oat3 knockout mice	EM00213	Equol sulfate
DTD0025	Organic anion transporter 3	Identified using Oat3 knockout mice	EM00214	Imidazole propionate
DTD0025	Organic anion transporter 3	Identified using Oat3 knockout mice	EM00215	Indoleacrylate
DTD0025	Organic anion transporter 3	Identified using Oat3 knockout mice	EM00216	Phenyllactate
DTD0025	Organic anion transporter 3	Identified using Oat3 knockout mice	EM00075	Pyridoxic acid
