TransporterID	Gene_name	Protein_Name_generally	Gene_id	Uniprot ID	TCDB ID
DTD0103	SLC16A12	Monocarboxylate transporter 12	387700	Q6ZSM3	2.A.1.13.14
DTD0166	SLC24A5	Sodium/potassium/calcium exchanger 5	283652	Q71RS6	2.A.19.4.6
DTD0320	SLC36A3	Proton-coupled amino acid transporter 3	285641	Q495N2	2.A.18.8.4
DTD0343	SLC39A2	Zrt- and Irt-like protein 2	29986	Q9NP94	2.A.5.3.1
DTD0370	SLC45A3	Solute carrier family 45 member 3	85414	Q96JT2	2.A.2.4.8
DTD0420	SLC5A11	Sodium/myo-inositol cotransporter 2	115584	Q8WWX8	2.A.21.3.6
DTD0171	SLC25A13	Calcium-binding mitochondrial carrier protein Aralar2	10165	Q9UJS0	2.A.29.14.2
DTD0513	KCNQ1	Voltage-gated potassium channel Kv7.1	3784	P51787	1.A.1.15.6
DTD0175	SLC25A16	Graves disease carrier protein	8034	P16260	2.A.29.12.3
DTD0168	SLC25A10	Mitochondrial dicarboxylate carrier	1468	Q9UBX3	2.A.29.2.7
DTD0065	ABCD3	ATP-binding cassette sub-family D member 3	5825	P28288	3.A.1.203.1
DTD0093	SLC13A3	Sodium/dicarboxylate cotransporter 3	64849	Q8WWT9	2.A.47.1.15
DTD0240	SLC27A3	Long-chain fatty acid transport protein 3	11000	Q5K4L6	4.C.1.1.12
DTD0419	SLC5A10	Sodium/glucose cotransporter 5	125206	A0PJK1	2.A.21.3.15
DTD0017	ABCC6	Multidrug resistance-associated protein 6	368	O95255	3.A.1.208.10
DTD0232	SLC26A4	Sodium-independent chloride/iodide transporter	5172	O43511	2.A.53.2.17
DTD0287	SLC35A1	CMP-sialic acid transporter	10559	P78382	2.A.7.12.11
DTD0393	SLC52A1	Riboflavin transporter 1	55065	Q9NWF4	2.A.125.1.1
DTD0394	SLC52A2	Riboflavin transporter 3	79581	Q9HAB3	2.A.125.1.3
DTD0325	SLC37A4	Glucose-6-phosphate translocase	2542	O43826	2.A.1.4.5
DTD0528	SCN8A	Voltage-gated sodium channel alpha Nav1.6	6334	O95788	1.A.1.10.8
DTD0414	SLC58A1	Magnesium transporter protein 1	84061	Q9H0U3	1.A.76.1.1
DTD0169	SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier	8402	Q02978	2.A.29.2.13
DTD0288	SLC35A2	UDP-galactose translocator	7355	P78381	2.A.7.12.6
DTD0071	ABCG1	ATP-binding cassette sub-family G member 1	9619	P45844	3.A.1.204.12
DTD0036	ABCA1	ATP-binding cassette sub-family A member 1	19	O95477	3.A.1.211.14
DTD0183	SLC25A22	Mitochondrial glutamate carrier 1	79751	Q9H936	2.A.29.14.3
DTD0180	SLC25A20	Carnitine/acylcarnitine translocase	788	O43772	2.A.29.8.3
DTD0439	SLC65A2	Niemann-Pick C1-like protein 1	29881	Q9UHC9	2.A.6.6.6
DTD0351	SLC3A1	Neutral and basic amino acid transport protein rBAT	6519	Q07837	8.A.9.1.2
DTD0084	SLC12A3	Thiazide-sensitive sodium-chloride cotransporter	6559	P55017	2.A.30.1.12
DTD0298	SLC35D1	UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter	23169	Q9NTN3	2.A.7.15.4
DTD0427	SLC5A7	High affinity choline transporter 1	60482	Q9GZV3	2.A.21.8.2
DTD0395	SLC52A3	Riboflavin transporter 2	113278	Q9NQ40	2.A.125.1.2
DTD0024	SLC22A6	Organic anion transporter 1	9356	Q4U2R8	2.A.1.19.31
DTD0148	SLC22A25	Organic anion transporter UST6	387601	Q6T423	2.A.1.19.33
DTD0152	SLC22A9	Organic anion transporter 7	114571	Q8IVM8	2.A.1.19.18
DTD0027	SLC22A12	Urate anion exchanger 1	116085	Q96S37	2.A.1.19.11
DTD0026	SLC22A11	Organic anion transporter 4	55867	Q9NSA0	2.A.1.19.10
DTD0145	SLC22A20	Organic anion transporter 6	440044	A6NK97	2.A.1.19.35
DTD0045	ABCA7	ATP-binding cassette sub-family A member 7	10347	Q8IZY2	3.A.1.211.10
DTD0471	SLC7A5	L-type amino acid transporter 1	8140	Q01650	2.A.3.8.25
DTD0463	SLC7A10	Asc-type amino acid transporter 1	56301	Q9NS82	2.A.3.8.21
